Comment.id|Post.id
481036337214|481036337213
481036337215|481036337213
618475290690|618475290689
618475290691|618475290689
618475290692|618475290689
618475290693|618475290689
618475290694|618475290689
618475290695|618475290689
618475290701|618475290689
618475290702|618475290689
618475290704|618475290689
618475290706|618475290689
618475290707|618475290689
618475290708|618475290689
549755814208|549755814207
549755814209|549755814207
549755814210|549755814207
549755814212|549755814207
549755814214|549755814207
687194768314|687194768313
687194768315|687194768313
687194768316|687194768313
687194768318|687194768313
687194768319|687194768313
687194768321|687194768313
687194768322|687194768313
618475291594|618475291593
618475291595|618475291593
618475291596|618475291593
618475291603|618475291593
618475291604|618475291593
412316861401|412316861400
412316861402|412316861400
412316861403|412316861400
412316861404|412316861400
412316861405|412316861400
481036338146|481036338145
481036338147|481036338145
481036338148|481036338145
481036338149|481036338145
481036338150|481036338145
481036338153|481036338145
481036338156|481036338145
481036338159|481036338158
481036338160|481036338158
687194768974|687194768973
687194768975|687194768973
687194768976|687194768973
481036338770|481036338769
481036338771|481036338769
481036338773|481036338769
481036338774|481036338769
481036338775|481036338769
687194768990|687194768989
687194768991|687194768989
687194768992|687194768989
687194768993|687194768989
687194768994|687194768989
687194768995|687194768989
687194768996|687194768989
687194768998|687194768989
687194769000|687194768989
687194769001|687194768989
687194769003|687194768989
687194769052|687194769051
687194769053|687194769051
687194769054|687194769051
687194769216|687194769215
687194769217|687194769215
687194769221|687194769215
687194769222|687194769215
687194769223|687194769215
687194769276|687194769275
687194769277|687194769275
687194769278|687194769275
687194769279|687194769275
687194769280|687194769275
687194769283|687194769275
687194769284|687194769275
687194769286|687194769275
687194769287|687194769275
618475292954|618475292953
618475292955|618475292953
687194769818|687194769817
687194769819|687194769817
481036339730|481036339729
481036339746|481036339745
481036339747|481036339745
481036339748|481036339745
481036339751|481036339745
274877909545|274877909544
274877909546|274877909544
274877909547|274877909544
274877909548|274877909544
274877909553|274877909544
274877909554|274877909544
274877909555|274877909544
274877909556|274877909544
618475293239|618475293238
618475293240|618475293238
618475293252|618475293238
343597386311|343597386310
343597386312|343597386310
343597386313|343597386310
343597386314|343597386310
343597386315|343597386310
343597386316|343597386310
343597386320|343597386310
343597386321|343597386310
343597386325|343597386310
274877909591|274877909590
274877909592|274877909590
274877909594|274877909590
274877909596|274877909590
481036339808|481036339807
481036339809|481036339807
481036339810|481036339807
481036339813|481036339807
481036339814|481036339807
481036339816|481036339807
481036339817|481036339807
481036339827|481036339826
481036339828|481036339826
481036339829|481036339826
481036339830|481036339826
481036339831|481036339826
481036339833|481036339826
481036339836|481036339826
481036339842|481036339841
481036339843|481036339841
481036339844|481036339841
481036339848|481036339847
481036339849|481036339847
481036339850|481036339847
481036339851|481036339847
481036339852|481036339847
481036339855|481036339847
481036339856|481036339847
481036339858|481036339847
481036339862|481036339847
481036339863|481036339847
481036339867|481036339866
481036339868|481036339866
481036339870|481036339869
481036339871|481036339869
481036339872|481036339869
481036339873|481036339869
481036339875|481036339874
481036339876|481036339874
481036339877|481036339874
481036339878|481036339874
137438956207|137438956206
206158432944|137438956206
137438956212|137438956206
206158432956|206158432955
206158432957|206158432955
206158432958|206158432955
206158432962|206158432955
206158432963|206158432955
206158432964|206158432955
206158432967|206158432966
206158432968|206158432966
206158432969|206158432966
206158432970|206158432966
206158432972|206158432971
206158432975|206158432971
206158432976|206158432971
206158432977|206158432971
206158432980|206158432971
206158432981|206158432971
206158432982|206158432971
481036340240|481036340239
481036340241|481036340239
481036340242|481036340239
481036340243|481036340239
687194770454|687194770453
687194770455|687194770453
687194770456|687194770453
687194770457|687194770453
687194770458|687194770453
618475293726|618475293725
618475293727|618475293725
618475293729|618475293725
618475293731|618475293725
618475293732|618475293725
618475293734|618475293725
618475293740|618475293739
618475293742|618475293741
618475293743|618475293741
618475293744|618475293741
687194770482|687194770481
687194770483|687194770481
687194770485|687194770481
687194770487|687194770481
687194770493|687194770481
412316863553|412316863552
412316863554|412316863552
412316863557|412316863556
412316863558|412316863556
481036340428|481036340427
481036340429|481036340427
481036340430|481036340427
481036340431|481036340427
481036340432|481036340427
481036340437|481036340427
481036340439|481036340427
618475293948|618475293947
618475293949|618475293947
618475293950|618475293947
618475293952|618475293951
618475293953|618475293951
618475293954|618475293951
618475293955|618475293951
618475293957|618475293956
618475293958|618475293956
618475293960|618475293959
618475293961|618475293959
618475293964|618475293959
618475293965|618475293959
618475293968|618475293967
618475293969|618475293967
618475293970|618475293967
618475293971|618475293967
618475293972|618475293967
618475293973|618475293967
618475293974|618475293967
618475293975|618475293967
618475293976|618475293967
618475293977|618475293967
618475293978|618475293967
618475293979|618475293967
618475293980|618475293967
618475293981|618475293967
618475293982|618475293967
618475293984|618475293967
618475293985|618475293967
618475293987|618475293967
618475293989|618475293988
618475293990|618475293988
618475293991|618475293988
618475293992|618475293988
618475293993|618475293988
618475293996|618475293988
618475293998|618475293988
618475294004|618475294003
618475294005|618475294003
618475294007|618475294003
618475294008|618475294003
618475294009|618475294003
618475294011|618475294003
618475294015|618475294003
549755817505|549755817504
549755817506|549755817504
549755817507|549755817504
549755817508|549755817504
549755817510|549755817504
687194770987|687194770986
687194770988|687194770986
687194770989|687194770986
687194770990|687194770986
687194770991|687194770986
687194770992|687194770986
687194770993|687194770986
687194770994|687194770986
343597387320|343597387319
343597387321|343597387319
343597387322|343597387319
343597387325|343597387319
412316864073|412316864072
412316864074|412316864072
412316864075|412316864072
412316864076|412316864072
412316864077|412316864072
412316864078|412316864072
412316864080|412316864072
412316864084|412316864072
412316864085|412316864072
412316864092|412316864091
412316864094|412316864093
412316864096|412316864095
412316864097|412316864095
412316864098|412316864095
412316864099|412316864095
412316864100|412316864095
412316864101|412316864095
412316864102|412316864095
412316864105|412316864095
412316864107|412316864095
412316864109|412316864108
412316864110|412316864108
412316864112|412316864108
412316864114|412316864108
412316864119|412316864118
412316864122|412316864118
412316864129|412316864118
412316864130|412316864118
481036340986|481036340985
481036340987|481036340985
481036340988|481036340985
481036340993|481036340985
481036340994|481036340985
343597387527|343597387526
343597387533|343597387526
412316864271|412316864270
412316864272|412316864270
412316864275|412316864270
412316864279|412316864270
412316864282|412316864270
481036341023|481036341022
481036341024|481036341022
481036341027|481036341022
481036341028|481036341022
481036341033|481036341022
481036341038|481036341037
481036341039|481036341037
481036341040|481036341037
481036341041|481036341037
481036341042|481036341037
481036341043|481036341037
481036341044|481036341037
481036341045|481036341037
343597387575|343597387574
343597387577|343597387574
343597387580|343597387574
343597387581|343597387574
343597387582|343597387574
343597387588|343597387574
687194771290|687194771289
687194771294|687194771289
687194771295|687194771289
618475294561|618475294560
618475294562|618475294560
618475294564|618475294563
618475294586|618475294585
618475294587|618475294585
618475294588|618475294585
618475294589|618475294585
618475294590|618475294585
618475294591|618475294585
618475294592|618475294585
618475294596|618475294595
687194771333|618475294595
687194771335|618475294595
618475294600|618475294595
687194771359|687194771358
687194771360|687194771358
687194771362|687194771358
687194771369|687194771358
687194771375|687194771358
687194771376|687194771358
618475294689|618475294688
618475294690|618475294688
618475294691|618475294688
618475294692|618475294688
618475294695|618475294688
618475294696|618475294688
618475294697|618475294688
618475294699|618475294688
618475294709|618475294708
618475294710|618475294708
618475294711|618475294708
618475294714|618475294708
618475294717|618475294708
618475294720|618475294708
687194771471|687194771470
687194771472|687194771470
687194771474|687194771470
687194771475|687194771470
687194771476|687194771470
687194771477|687194771470
549755818007|549755818006
549755818008|549755818006
687194771482|687194771481
687194771485|687194771481
687194771503|687194771502
687194771504|687194771502
687194771505|687194771502
687194771508|687194771502
549755818050|549755818049
549755818051|549755818049
549755818052|549755818049
687194771527|687194771526
687194771528|687194771526
687194771529|687194771526
687194771530|687194771526
687194771531|687194771526
687194771535|687194771526
687194771536|687194771526
687194771537|687194771526
687194771623|687194771622
687194771624|687194771622
687194771625|687194771622
687194771626|687194771622
687194771627|687194771622
687194771628|687194771622
687194771630|687194771622
687194771633|687194771622
412316864982|412316864981
412316864983|412316864981
412316864984|412316864981
412316864986|412316864981
412316864987|412316864981
412316864989|412316864981
412316864990|412316864981
412316864991|412316864981
412316865001|412316865000
412316865002|412316865000
206158434797|206158434796
206158434798|206158434796
206158434800|206158434796
206158434807|206158434796
412316865018|412316865017
412316865019|412316865017
412316865020|412316865017
412316865023|412316865022
412316865024|412316865022
412316865025|412316865022
412316865026|412316865022
412316865027|412316865022
412316865028|412316865022
412316865029|412316865022
412316865030|412316865022
412316865031|412316865022
412316865032|412316865022
687194771983|687194771982
687194771984|687194771982
687194771985|687194771982
343597388307|343597388306
343597388308|343597388306
343597388309|343597388306
343597388310|343597388306
343597388311|343597388306
343597388313|343597388312
343597388314|343597388312
343597388315|343597388312
343597388317|343597388312
343597388318|343597388312
343597388319|343597388312
343597388320|343597388312
343597388321|343597388312
343597388325|343597388324
343597388326|343597388324
343597388327|343597388324
343597388328|343597388324
343597388329|343597388324
343597388330|343597388324
412316865605|412316865604
412316865616|412316865615
549755819242|549755819241
549755819243|549755819241
549755819244|549755819241
549755819245|549755819241
549755819246|549755819241
549755819249|549755819241
412316865784|412316865783
412316865785|412316865783
412316865786|412316865783
412316865787|412316865783
412316865790|412316865783
274877912576|274877912575
274877912577|274877912575
274877912578|274877912575
274877912579|274877912575
274877912582|274877912575
274877912584|274877912575
274877912587|274877912575
206158435861|206158435860
206158435862|206158435860
206158435863|206158435860
206158435864|206158435860
206158435865|206158435860
206158435866|206158435860
206158435867|206158435860
206158435868|206158435860
206158435870|206158435860
206158435871|206158435860
274877912613|274877912612
274877912614|274877912612
274877912615|274877912612
274877912617|274877912612
274877912620|274877912619
274877912621|274877912619
274877912622|274877912619
274877912623|274877912619
274877912624|274877912619
274877912625|274877912619
274877912626|274877912619
274877912629|274877912619
274877912634|274877912619
274877912638|274877912637
274877912648|274877912637
274877912651|274877912637
549755819840|549755819839
687194773486|687194773485
687194773487|687194773485
687194773489|687194773488
687194773490|687194773488
687194773491|687194773488
687194773492|687194773488
687194773493|687194773488
687194773494|687194773488
687194773497|687194773488
481036343294|481036343293
481036343297|481036343293
481036343298|481036343293
481036343300|481036343293
481036343310|481036343293
481036343313|481036343312
481036343314|481036343312
481036343315|481036343312
481036343317|481036343312
481036343318|481036343312
481036343321|481036343312
481036343325|481036343324
481036343326|481036343324
481036343327|481036343324
481036343328|481036343324
481036343329|481036343324
481036343330|481036343324
481036343331|481036343324
481036343332|481036343324
481036343333|481036343324
481036343335|481036343324
481036343337|481036343324
481036343338|481036343324
481036343346|481036343345
481036343347|481036343345
481036343348|481036343345
481036343356|481036343345
481036343360|481036343345
481036343367|481036343366
481036343368|481036343366
481036343369|481036343366
481036343370|481036343366
481036343372|481036343366
481036343374|481036343366
481036343375|481036343366
481036343376|481036343366
481036343378|481036343366
481036343380|481036343366
481036343382|481036343366
274877913556|274877913555
274877913557|274877913555
274877913558|274877913555
274877913559|274877913555
274877913562|274877913555
274877913563|274877913555
549755820513|549755820512
549755820514|549755820512
549755820515|549755820512
549755820518|549755820512
549755820526|549755820512
549755820528|549755820512
618475297266|618475297265
618475297272|618475297265
618475297274|618475297265
