Forum.id|Person.id|joinDate
549755813888|19791209299992|2011-09-10T19:32:20.579+0000
549755813888|21990232555554|2011-11-02T04:13:24.338+0000
687194767361|21990232555554|2011-11-08T06:59:43.154+0000
549755813892|19791209299992|2011-10-22T01:56:44.189+0000
618475290630|19791209299992|2011-10-29T17:27:10.030+0000
343597383689|94|2011-01-16T01:06:25.379+0000
343597383689|10995116277789|2011-01-21T11:39:09.681+0000
343597383689|10995116277803|2011-01-17T16:24:27.564+0000
343597383689|13194139533378|2011-04-02T00:21:56.741+0000
412316860426|94|2011-03-17T03:28:10.127+0000
412316860426|6597069766661|2011-03-09T12:46:32.734+0000
412316860426|10995116277769|2011-03-15T20:29:43.178+0000
412316860426|10995116277802|2011-03-21T18:03:01.543+0000
412316860426|17592186044508|2011-05-28T07:34:59.069+0000
412316860426|19791209299992|2011-09-16T22:34:16.914+0000
274877906976|10995116277769|2011-02-08T07:38:49.838+0000
274877906976|13194139533330|2011-03-12T17:34:49.082+0000
274877906976|15393162788868|2011-04-14T09:58:13.588+0000
618475290658|13194139533330|2011-08-20T16:15:47.925+0000
618475290658|15393162788868|2011-08-29T11:31:33.386+0000
618475290659|10995116277769|2011-10-29T22:01:43.304+0000
412316860453|10995116277769|2011-11-07T16:16:44.759+0000
412316860453|13194139533330|2011-08-26T22:00:48.308+0000
412316860453|15393162788868|2011-04-19T08:00:39.021+0000
618475290662|10995116277769|2011-10-07T08:00:05.417+0000
412316860457|13194139533330|2011-09-20T09:16:15.923+0000
412316860457|15393162788868|2011-06-08T23:20:38.616+0000
549755813930|10995116277769|2011-10-31T10:09:01.644+0000
549755813930|15393162788868|2011-07-30T15:33:59.361+0000
618475290667|10995116277769|2011-09-05T00:57:00.802+0000
618475290667|13194139533330|2011-10-12T01:55:58.184+0000
618475290667|15393162788868|2011-11-09T01:05:34.111+0000
274877906988|10995116277769|2011-04-04T19:36:54.295+0000
274877906988|15393162788868|2011-07-30T08:52:04.896+0000
618475290669|15393162788868|2011-10-16T19:03:31.608+0000
549755813934|10995116277769|2011-07-27T23:50:50.870+0000
549755813934|15393162788868|2011-10-21T18:25:12.524+0000
549755813935|10995116277769|2011-09-11T05:45:33.120+0000
412316860464|10995116277769|2011-08-04T20:28:52.025+0000
412316860464|13194139533330|2011-08-28T08:15:25.015+0000
687194767409|15393162788868|2011-10-14T01:55:58.298+0000
687194767409|17592186044456|2011-09-29T02:47:20.730+0000
206158430287|6597069766684|2010-09-21T08:31:01.991+0000
412316860497|6597069766684|2011-07-16T03:43:45.815+0000
343597383765|6597069766684|2011-08-09T14:15:19.434+0000
481036337238|6597069766684|2011-11-16T21:24:49.630+0000
481036337242|6597069766684|2011-05-30T09:17:12.988+0000
274877907036|6597069766684|2011-06-07T21:13:24.100+0000
206158430302|6597069766684|2011-01-16T07:58:05.041+0000
412316860512|6597069766684|2011-05-04T04:59:34.933+0000
68719476833|4398046511181|2010-07-11T02:20:16.988+0000
343597383778|2199023255625|2011-01-07T14:10:21.711+0000
343597383778|10995116277802|2011-01-04T13:40:59.006+0000
343597383778|10995116277803|2011-01-26T12:42:30.153+0000
343597383778|13194139533390|2011-02-18T14:11:42.576+0000
343597383778|15393162788868|2011-04-08T05:04:02.490+0000
343597383778|17592186044456|2011-06-17T13:20:32.300+0000
343597383778|21990232555554|2011-11-11T09:38:00.556+0000
481036337251|4398046511181|2011-05-28T19:23:20.838+0000
481036337251|6597069766716|2011-06-09T16:12:11.277+0000
481036337251|15393162788868|2011-05-30T23:49:36.390+0000
481036337251|17592186044446|2011-07-26T21:43:41.558+0000
481036337251|19791209299992|2011-09-24T09:39:27.422+0000
481036337251|21990232555554|2011-10-27T03:50:30.905+0000
549755813988|4398046511168|2011-06-29T22:52:32.050+0000
549755813988|10995116277769|2011-07-06T01:01:00.327+0000
549755813988|19791209300014|2011-10-07T01:36:26.878+0000
549755813988|21990232555554|2011-11-10T07:32:40.347+0000
137438953573|2199023255628|2010-06-27T01:29:27.168+0000
137438953573|4398046511168|2010-07-10T01:42:48.778+0000
206158430310|2199023255628|2010-10-04T04:24:44.640+0000
206158430310|4398046511126|2010-10-19T18:10:08.650+0000
206158430310|4398046511181|2010-09-25T15:19:06.971+0000
206158430310|6597069766684|2010-10-07T07:05:38.035+0000
206158430310|13194139533328|2011-03-04T03:17:47.765+0000
206158430310|15393162788895|2011-06-09T16:12:11.277+0000
206158430310|15393162788908|2011-06-17T08:35:59.701+0000
549755813991|10995116277769|2011-06-24T07:27:28.935+0000
549755813991|15393162788908|2011-06-15T19:24:48.495+0000
549755813991|19791209299992|2011-09-26T03:40:24.063+0000
687194767464|2199023255625|2011-11-10T18:07:33.084+0000
687194767464|4398046511167|2011-10-30T12:30:58.919+0000
687194767464|4398046511168|2011-10-25T15:58:58.232+0000
687194767464|4398046511181|2011-10-28T19:04:28.432+0000
687194767464|4398046511185|2011-11-04T17:18:59.903+0000
687194767464|8796093022240|2011-11-18T05:11:03.246+0000
687194767464|10995116277761|2011-11-11T09:38:00.556+0000
687194767464|10995116277803|2011-10-30T14:13:46.771+0000
