id|imageFile|creationDate|locationIP|browserUsed|language|content|length
687194767360|photo687194767360.jpg|2011-11-19T10:57:33.069+0000|200.5.15.1|Internet Explorer|||0
687194767361|photo687194767361.jpg|2011-11-19T10:57:34.069+0000|200.5.15.1|Internet Explorer|||0
687194767362|photo687194767362.jpg|2011-11-19T10:57:35.069+0000|200.5.15.1|Internet Explorer|||0
687194767363|photo687194767363.jpg|2011-11-19T10:57:36.069+0000|200.5.15.1|Internet Explorer|||0
687194767364|photo687194767364.jpg|2011-11-19T10:57:37.069+0000|200.5.15.1|Internet Explorer|||0
687194767365|photo687194767365.jpg|2011-11-19T10:57:38.069+0000|200.5.15.1|Internet Explorer|||0
687194767366|photo687194767366.jpg|2011-11-19T10:57:39.069+0000|200.5.15.1|Internet Explorer|||0
687194767367|photo687194767367.jpg|2011-11-19T10:57:40.069+0000|200.5.15.1|Internet Explorer|||0
687194767368|photo687194767368.jpg|2011-11-19T10:57:41.069+0000|200.5.15.1|Internet Explorer|||0
687194767369|photo687194767369.jpg|2011-11-19T10:57:42.069+0000|200.5.15.1|Internet Explorer|||0
687194767370|photo687194767370.jpg|2011-11-19T10:57:43.069+0000|200.5.15.1|Internet Explorer|||0
687194767371|photo687194767371.jpg|2011-11-19T10:57:44.069+0000|200.5.15.1|Internet Explorer|||0
687194767372|photo687194767372.jpg|2011-11-19T10:57:45.069+0000|200.5.15.1|Internet Explorer|||0
687194767373|photo687194767373.jpg|2011-11-19T10:57:46.069+0000|200.5.15.1|Internet Explorer|||0
687194767374|photo687194767374.jpg|2011-11-19T10:57:47.069+0000|200.5.15.1|Internet Explorer|||0
687194767375|photo687194767375.jpg|2011-11-19T10:57:48.069+0000|200.5.15.1|Internet Explorer|||0
687194767376|photo687194767376.jpg|2011-11-19T10:57:49.069+0000|200.5.15.1|Internet Explorer|||0
687194767377|photo687194767377.jpg|2011-11-19T10:57:50.069+0000|200.5.15.1|Internet Explorer|||0
687194767378|photo687194767378.jpg|2011-11-19T10:57:51.069+0000|200.5.15.1|Internet Explorer|||0
687194767379|photo687194767379.jpg|2011-10-25T04:13:01.644+0000|200.5.15.1|Internet Explorer|||0
687194767380|photo687194767380.jpg|2011-10-25T04:13:02.644+0000|200.5.15.1|Internet Explorer|||0
687194767381|photo687194767381.jpg|2011-10-25T04:13:03.644+0000|200.5.15.1|Internet Explorer|||0
687194767382|photo687194767382.jpg|2011-10-25T04:13:04.644+0000|200.5.15.1|Internet Explorer|||0
687194767383|photo687194767383.jpg|2011-10-25T04:13:05.644+0000|200.5.15.1|Internet Explorer|||0
687194767384|photo687194767384.jpg|2011-10-25T04:13:06.644+0000|200.5.15.1|Internet Explorer|||0
687194767385|photo687194767385.jpg|2011-10-25T04:13:07.644+0000|200.5.15.1|Internet Explorer|||0
687194767386|photo687194767386.jpg|2011-10-25T04:13:08.644+0000|200.5.15.1|Internet Explorer|||0
687194767387|photo687194767387.jpg|2011-10-25T04:13:09.644+0000|200.5.15.1|Internet Explorer|||0
687194767388|photo687194767388.jpg|2011-10-25T04:13:10.644+0000|200.5.15.1|Internet Explorer|||0
687194767389|photo687194767389.jpg|2011-10-25T04:13:11.644+0000|200.5.15.1|Internet Explorer|||0
687194767390|photo687194767390.jpg|2011-10-25T04:13:12.644+0000|200.5.15.1|Internet Explorer|||0
687194767391|photo687194767391.jpg|2011-10-25T04:13:13.644+0000|200.5.15.1|Internet Explorer|||0
687194767392|photo687194767392.jpg|2011-10-25T04:13:14.644+0000|200.5.15.1|Internet Explorer|||0
687194767393|photo687194767393.jpg|2011-10-25T04:13:15.644+0000|200.5.15.1|Internet Explorer|||0
687194767394|photo687194767394.jpg|2011-10-25T04:13:16.644+0000|200.5.15.1|Internet Explorer|||0
549755813923|photo549755813923.jpg|2011-07-02T13:48:47.994+0000|200.5.15.1|Internet Explorer|||0
549755813924|photo549755813924.jpg|2011-07-02T13:48:48.994+0000|200.5.15.1|Internet Explorer|||0
