Comment.id|Tag.id
618475290694|5442
618475290697|5442
618475290697|7731
618475290699|807
618475290699|7731
618475290702|1206
618475290702|2959
618475290705|1771
618475290707|9
618475290707|1206
618475290708|1206
618475290708|7509
549755814210|3086
549755814211|10773
687194768314|525
687194768314|3104
687194768315|8365
687194768320|3047
687194768322|525
687194768322|14856
687194768323|9307
687194768328|7025
618475291594|12224
618475291595|2930
618475291597|2930
618475291597|2949
618475291599|2949
618475291599|6934
618475291601|2949
618475291601|5101
618475291601|6934
618475291603|1859
618475291603|11259
618475291606|2869
618475291606|2949
618475291607|1859
618475291607|3088
618475291607|11259
412316861401|1506
412316861401|1937
412316861401|5132
412316861401|6014
412316861401|6872
412316861401|9063
412316861401|9140
412316861406|205
412316861406|1937
412316861406|6014
412316861406|6872
412316861406|7505
412316861406|7517
412316861406|11985
412316861408|1506
412316861408|2792
412316861408|6872
412316861408|7510
412316861408|13221
412316861408|13816
481036338147|1448
481036338147|2030
481036338147|5289
481036338147|9176
481036338147|9223
481036338150|975
481036338150|1171
481036338150|1987
481036338150|9223
481036338150|11734
481036338150|12408
481036338150|13768
481036338156|1448
481036338156|5192
481036338156|9147
481036338156|9223
481036338156|12408
481036338156|13768
481036338156|15377
481036338771|1191
481036338771|1195
481036338771|1653
481036338771|1986
481036338771|2836
481036338771|3009
481036338771|5154
481036338773|795
481036338773|1195
481036338773|2102
481036338773|2836
481036338773|5154
481036338773|11774
481036338775|567
481036338775|1195
481036338775|1653
481036338775|2836
481036338775|3077
481036338775|9299
481036338775|9505
481036338776|796
481036338776|1195
481036338776|1615
481036338776|2102
481036338776|2836
481036338776|5154
481036338776|7520
481036338776|11774
481036338780|1986
481036338780|2102
481036338780|2835
481036338780|5154
481036338780|9041
481036338780|10874
687194768996|2887
687194768996|9793
687194769000|6370
687194769002|6355
687194769052|5854
687194769056|7883
687194769217|2887
687194769217|5133
687194769219|2887
687194769219|5133
687194769219|12064
687194769223|15115
687194769278|4844
687194769280|2786
687194769286|2887
687194769286|3062
618475292955|7775
687194769818|2889
687194769818|6745
687194769818|7016
687194769818|8790
687194769818|12269
687194769820|2889
687194769820|7016
687194769820|7327
687194769820|9907
687194769820|12269
687194769820|15666
687194769825|1672
687194769825|5216
687194769825|6745
687194769825|7016
687194769825|8790
687194769825|11110
687194769832|1672
687194769832|2853
687194769832|5216
687194769832|6745
687194769832|9030
687194769832|11624
687194769833|2889
687194769833|5169
687194769833|6745
687194769833|9045
687194769833|12458
481036339730|138
481036339730|579
481036339730|7580
481036339731|138
481036339731|579
481036339731|1532
481036339731|5116
481036339731|7580
481036339732|1532
481036339732|7580
481036339732|11252
481036339732|12454
481036339732|15288
481036339736|2931
481036339736|3093
481036339736|5116
481036339736|7580
481036339736|12067
481036339737|579
481036339737|2054
481036339737|2957
481036339737|5116
481036339737|6293
481036339738|3093
481036339738|5116
481036339738|5432
481036339738|5524
481036339738|6954
481036339738|7580
481036339738|12067
481036339741|1183
481036339741|5116
481036339741|6954
481036339741|7580
481036339741|9195
481036339741|9285
481036339741|15926
481036339743|5158
481036339743|7580
481036339743|9194
481036339747|138
481036339747|579
481036339747|2104
481036339747|6378
481036339748|138
481036339748|579
481036339748|5569
481036339748|8204
274877909548|138
274877909548|3053
274877909548|7380
274877909555|5153
274877909556|2790
274877909556|3053
618475293239|579
618475293239|1533
618475293239|2933
618475293239|5852
618475293241|579
618475293241|2933
618475293241|5107
618475293241|11645
618475293243|579
618475293243|5107
618475293243|6663
618475293243|7225
618475293243|11645
618475293244|2933
618475293244|3006
618475293244|5852
618475293244|6760
618475293249|579
618475293249|2812
618475293249|5107
618475293249|6410
618475293249|6663
618475293249|9217
618475293249|11645
618475293251|579
618475293251|3044
618475293251|7225
618475293251|9242
618475293251|9479
618475293251|11645
343597386312|2034
343597386312|2780
343597386312|9352
343597386314|5064
343597386314|9259
343597386315|2780
343597386315|5184
343597386315|12298
343597386315|14583
343597386319|565
343597386319|2034
343597386319|7681
343597386322|2034
343597386322|6692
343597386322|7396
343597386322|7681
274877909591|7426
274877909593|1768
274877909593|7426
274877909597|2034
274877909597|7426
274877909598|2034
274877909598|7426
274877909598|9241
481036339808|138
481036339808|7512
481036339810|11653
481036339812|138
481036339812|5145
481036339813|2020
481036339815|138
481036339815|2789
