Person.id|Person.id|creationDate
17592186044428|19791209299992|2011-09-10T19:32:20.579+0000
17592186044428|21990232555554|2011-11-02T04:13:24.338+0000
10995116277848|13194139533378|2011-04-02T00:21:56.741+0000
13194139533402|17592186044508|2011-05-28T07:34:59.069+0000
13194139533402|19791209299992|2011-09-16T22:34:16.914+0000
8796093022228|10995116277769|2011-02-08T07:38:49.838+0000
8796093022228|13194139533330|2011-03-12T17:34:49.082+0000
8796093022228|15393162788868|2011-04-14T09:58:13.588+0000
2199023255602|4398046511181|2010-07-11T02:20:16.988+0000
10995116277761|10995116277802|2011-01-04T13:40:59.006+0000
10995116277761|10995116277803|2011-01-26T12:42:30.153+0000
10995116277761|13194139533390|2011-02-18T14:11:42.576+0000
10995116277761|15393162788868|2011-04-08T05:04:02.490+0000
10995116277761|17592186044456|2011-06-17T13:20:32.300+0000
10995116277761|21990232555554|2011-11-11T09:38:00.556+0000
15393162788895|17592186044446|2011-07-26T21:43:41.558+0000
15393162788895|19791209299992|2011-09-24T09:39:27.422+0000
15393162788895|21990232555554|2011-10-27T03:50:30.905+0000
17592186044509|19791209300014|2011-10-07T01:36:26.878+0000
17592186044509|21990232555554|2011-11-10T07:32:40.347+0000
6597069766716|13194139533328|2011-03-04T03:17:47.765+0000
6597069766716|15393162788895|2011-06-09T16:12:11.277+0000
6597069766716|15393162788908|2011-06-17T08:35:59.701+0000
17592186044430|19791209299992|2011-09-26T03:40:24.063+0000
2199023255637|10995116277802|2011-01-05T12:26:40.229+0000
2199023255558|10995116277802|2010-12-13T17:41:53.249+0000
13194139533378|15393162788955|2011-05-19T20:50:36.322+0000
13194139533378|17592186044490|2011-08-03T19:47:30.257+0000
13194139533378|19791209299992|2011-09-28T00:06:24.818+0000
4398046511141|10995116277818|2010-12-30T09:46:49.208+0000
10995116277818|13194139533364|2011-03-02T07:07:47.816+0000
10995116277818|15393162788915|2011-05-02T20:09:14.372+0000
17592186044443|21990232555554|2011-11-14T12:04:27.255+0000
4398046511107|4398046511181|2010-07-13T05:48:26.578+0000
6597069766661|10995116277818|2010-12-29T14:42:07.965+0000
6597069766661|13194139533402|2011-03-09T12:46:32.734+0000
6597069766661|15393162788955|2011-05-03T11:33:50.196+0000
15393162788955|21990232555569|2011-11-05T16:35:31.979+0000
4398046511181|6597069766684|2010-10-10T13:34:37.489+0000
4398046511181|6597069766716|2010-09-25T15:19:06.971+0000
4398046511181|8796093022216|2010-11-26T11:24:42.734+0000
4398046511181|8796093022287|2010-10-29T06:54:07.394+0000
4398046511181|10995116277769|2011-01-20T10:55:43.749+0000
4398046511181|10995116277802|2010-12-14T03:29:13.235+0000
4398046511181|13194139533328|2011-03-14T04:42:59.004+0000
4398046511181|13194139533330|2011-04-03T04:14:41.849+0000
4398046511181|13194139533364|2011-03-04T22:03:12.271+0000
4398046511181|13194139533365|2011-03-29T06:53:32.134+0000
4398046511181|15393162788868|2011-04-26T21:06:54.550+0000
4398046511181|15393162788895|2011-05-28T19:23:20.838+0000
4398046511181|17592186044443|2011-06-20T21:23:03.384+0000
