Comment.id|Person.id
481036337214|13194139533378
481036337215|10995116277803
618475290690|17592186044508
618475290691|10995116277769
618475290692|6597069766661
618475290693|6597069766661
618475290694|10995116277769
618475290695|6597069766661
618475290696|94
618475290697|6597069766661
618475290698|17592186044508
618475290699|10995116277802
618475290700|10995116277802
618475290701|6597069766661
618475290702|17592186044508
618475290703|10995116277769
618475290704|6597069766661
618475290705|10995116277769
618475290706|10995116277769
618475290707|94
618475290708|10995116277802
549755814208|13194139533330
549755814209|10995116277769
549755814210|13194139533330
549755814211|10995116277769
549755814212|15393162788868
549755814213|10995116277769
549755814214|15393162788868
687194768314|4398046511168
687194768315|10995116277769
687194768316|10995116277769
687194768317|4398046511168
687194768318|10995116277769
687194768319|4398046511168
687194768320|4398046511168
687194768321|10995116277769
687194768322|4398046511168
687194768323|10995116277769
687194768324|10995116277769
687194768325|10995116277769
687194768326|10995116277769
687194768327|4398046511168
687194768328|4398046511168
618475291594|6597069766684
618475291595|4398046511181
618475291596|6597069766684
618475291597|13194139533328
618475291598|15393162788895
618475291599|6597069766684
618475291600|13194139533328
618475291601|15393162788895
618475291602|4398046511181
618475291603|15393162788895
618475291604|15393162788908
618475291605|15393162788908
618475291606|2199023255628
618475291607|4398046511181
412316861401|4398046511126
412316861402|2199023255628
412316861403|4398046511181
412316861404|4398046511181
412316861405|2199023255628
412316861406|4398046511181
412316861407|4398046511181
412316861408|4398046511126
481036338146|6597069766684
481036338147|4398046511181
481036338148|4398046511181
481036338149|13194139533328
481036338150|6597069766684
481036338151|13194139533328
481036338152|4398046511181
481036338153|6597069766684
481036338154|6597069766684
481036338155|4398046511126
481036338156|13194139533328
481036338157|6597069766684
481036338159|2199023255628
481036338160|4398046511126
687194768974|4398046511126
687194768975|4398046511126
687194768976|4398046511126
481036338770|6597069766661
481036338771|15393162788915
481036338772|4398046511141
481036338773|4398046511141
481036338774|15393162788915
481036338775|4398046511141
481036338776|10995116277802
481036338777|10995116277802
481036338778|6597069766661
481036338779|4398046511141
481036338780|10995116277802
687194768990|8796093022287
687194768991|17592186044499
687194768992|6597069766742
687194768993|13194139533357
687194768994|15393162788915
687194768995|15393162788915
687194768996|8796093022227
687194768997|6597069766745
687194768998|13194139533364
687194768999|8796093022287
687194769000|13194139533390
687194769001|19791209299992
687194769002|4398046511159
687194769003|17592186044499
687194769004|8796093022228
687194769005|2199023255628
687194769006|96
687194769007|96
687194769008|17592186044499
687194769052|6597069766745
687194769053|15393162788908
687194769054|8796093022228
687194769055|6597069766745
687194769056|6597069766742
687194769057|17592186044499
687194769216|13194139533357
687194769217|6597069766716
687194769218|17592186044499
687194769219|4398046511159
687194769220|8796093022227
687194769221|4398046511159
687194769222|6597069766716
687194769223|15393162788908
687194769276|8796093022227
687194769277|17592186044430
687194769278|8796093022227
687194769279|17592186044446
687194769280|2199023255637
687194769281|2199023255600
687194769282|8796093022216
687194769283|15393162788908
687194769284|15393162788915
687194769285|17592186044430
687194769286|4398046511159
687194769287|8796093022287
687194769288|2199023255628
618475292954|2199023255611
618475292955|2199023255611
687194769818|2199023255611
687194769819|10995116277789
687194769820|15393162788868
687194769821|2199023255611
687194769822|15393162788868
687194769823|10995116277789
687194769824|2199023255611
687194769825|2199023255625
687194769826|6597069766661
687194769827|10995116277789
687194769828|10995116277789
687194769829|13194139533378
687194769830|13194139533378
687194769831|13194139533378
687194769832|2199023255611
687194769833|2199023255625
687194769834|6597069766661
687194769835|2199023255611
687194769836|2199023255611
687194769837|6597069766661
481036339730|10995116277802
481036339731|4398046511126
481036339732|2199023255611
481036339733|6597069766684
481036339734|13194139533365
481036339735|6597069766684
481036339736|13194139533328
481036339737|4398046511107
481036339738|4398046511126
481036339739|13194139533330
481036339740|2199023255602
481036339741|13194139533328
481036339742|6597069766716
481036339743|2199023255628
481036339744|15393162788868
