Post.id|Tag.id
481036337213|6
481036337213|1616
343597383744|244
343597383744|2029
343597383744|10468
343597383744|11623
343597383744|11644
343597383744|12427
618475290689|1206
549755814207|280
343597384632|413
343597384632|15141
687194768313|525
618475291593|1859
412316861400|1506
412316861400|1937
412316861400|2901
412316861400|5132
412316861400|9063
481036338145|975
481036338145|1448
481036338145|9223
481036338145|12408
481036338145|13768
481036338158|448
481036338158|1448
481036338158|2924
481036338158|7860
687194768973|416
687194768973|1671
481036338769|1195
481036338769|1653
481036338769|2836
481036338769|3077
481036338769|4940
481036338769|5154
687194768989|2887
687194769051|2887
687194769215|2887
687194769275|2887
618475292953|65
687194769817|1296
687194769817|2889
687194769817|6745
687194769817|7016
481036339729|138
481036339729|579
481036339745|138
481036339745|579
481036339745|11375
274877909544|138
274877909544|3053
618475293238|138
618475293238|579
618475293238|3053
618475293238|5852
343597386310|138
343597386310|2780
343597386310|5184
274877909590|138
274877909590|2856
481036339807|138
481036339826|1169
481036339826|2987
481036339826|5126
481036339841|1169
481036339841|2030
481036339841|7567
481036339841|10149
481036339841|12304
481036339847|1169
481036339847|2973
481036339847|3019
481036339847|6322
481036339847|6397
481036339847|6931
481036339847|9055
481036339847|9243
481036339847|10176
481036339866|1169
481036339866|7367
481036339866|8063
481036339866|9225
481036339866|11417
481036339866|11583
481036339869|1169
481036339869|2030
481036339869|11237
481036339874|1169
481036339874|6269
481036339874|6394
481036339874|7547
481036339874|7581
137438956206|470
137438956206|1183
206158432955|470
206158432955|805
206158432955|4849
206158432955|7522
206158432955|9319
206158432965|273
206158432965|9143
206158432965|11251
206158432965|14785
206158432966|273
206158432966|2925
206158432966|9148
206158432966|11465
206158432971|273
206158432971|1987
206158432971|2851
206158432971|5141
206158432971|6972
206158432971|8112
206158432971|11690
274877909880|1937
274877909880|5158
274877909880|9191
68719479673|540
68719479673|2976
68719479673|6292
68719479673|6420
68719479673|10028
68719479673|12963
481036340239|132
481036340239|140
481036340239|2050
343597386772|132
343597386772|2831
343597386772|4990
343597386772|10987
687194770453|132
687194770453|596
687194770453|10298
618475293725|132
618475293739|132
618475293739|3092
618475293741|132
618475293741|806
618475293741|3092
687194770481|132
687194770481|806
687194770481|2050
687194770481|6360
687194770481|10298
412316863552|810
412316863552|1748
412316863552|9318
412316863555|1748
412316863555|3019
412316863555|5063
412316863555|6419
412316863555|9104
412316863555|9232
412316863555|12006
412316863556|1748
412316863556|2071
