Forum.id|Person.id
549755813888|17592186044428
687194767361|17592186044428
687194767362|17592186044428
687194767363|17592186044428
549755813892|17592186044428
618475290630|17592186044428
343597383689|10995116277848
412316860426|13194139533402
137438953483|4398046511143
549755813900|4398046511143
618475290637|4398046511143
412316860430|4398046511143
549755813903|4398046511143
687194767376|4398046511143
618475290641|4398046511143
481036337170|4398046511143
481036337173|4398046511143
343597383702|4398046511143
206158430231|4398046511143
274877906968|4398046511143
343597383705|4398046511143
206158430234|4398046511143
206158430235|4398046511143
412316860444|4398046511143
343597383709|4398046511143
549755813918|4398046511143
481036337183|4398046511143
274877906976|8796093022228
687194767393|8796093022228
618475290658|8796093022228
618475290659|8796093022228
412316860453|8796093022228
618475290662|8796093022228
618475290663|8796093022228
687194767400|8796093022228
412316860457|8796093022228
549755813930|8796093022228
618475290667|8796093022228
274877906988|8796093022228
618475290669|8796093022228
549755813934|8796093022228
549755813935|8796093022228
412316860464|8796093022228
687194767409|21990232555604
687194767411|21990232555604
687194767412|21990232555604
54|65
68719476791|65
412316860472|65
481036337209|65
687194767418|65
274877907005|65
62|65
274877907007|65
274877907008|65
412316860481|65
343597383746|65
412316860483|65
549755813956|65
343597383750|65
412316860487|65
274877907016|65
343597383753|65
68719476810|65
343597383755|65
76|65
412316860493|65
206158430287|6597069766738
481036337232|6597069766738
412316860497|6597069766738
618475290706|6597069766738
481036337235|6597069766738
412316860500|6597069766738
343597383765|6597069766738
481036337238|6597069766738
343597383767|6597069766738
618475290712|6597069766738
687194767449|6597069766738
481036337242|6597069766738
274877907036|6597069766738
618475290717|6597069766738
206158430302|6597069766738
412316860512|6597069766738
68719476833|2199023255602
343597383778|10995116277761
481036337251|15393162788895
549755813988|17592186044509
137438953573|4398046511173
206158430310|6597069766716
549755813991|17592186044430
687194767464|21990232555554
68719476841|2199023255600
68719476842|2199023255637
412316860523|2199023255637
68719476844|2199023255637
274877907053|2199023255637
687194767470|2199023255637
137438953583|2199023255637
618475290736|2199023255637
481036337265|2199023255637
687194767474|2199023255637
137438953587|2199023255637
137438953588|2199023255637
274877907061|2199023255637
343597383798|2199023255637
549755814007|2199023255637
687194767480|2199023255637
687194767481|2199023255637
206158430330|2199023255637
618475290747|2199023255637
481036337277|2199023255637
687194767486|2199023255637
412316860543|2199023255637
412316860544|13194139533337
68719476865|2199023255558
343597383810|2199023255558
274877907075|2199023255558
481036337285|2199023255558
549755814023|2199023255558
274877907080|2199023255558
412316860553|2199023255558
618475290762|2199023255558
618475290763|2199023255558
343597383820|2199023255558
274877907085|2199023255558
412316860558|2199023255558
481036337295|2199023255558
274877907088|2199023255558
137438953618|2199023255558
206158430355|2199023255558
343597383828|2199023255558
137438953621|2199023255558
206158430358|2199023255558
549755814039|2199023255558
412316860568|13194139533378
549755814041|17592186044499
549755814042|17592186044508
549755814043|17592186044508
687194767518|17592186044508
618475290784|17592186044508
618475290785|17592186044508
687194767522|17592186044508
412316860579|13194139533390
412316860580|13194139533390
412316860581|13194139533390
549755814054|13194139533390
687194767527|13194139533390
412316860586|13194139533390
618475290795|13194139533390
481036337324|13194139533390
481036337325|13194139533390
481036337326|13194139533390
687194767535|13194139533390
137438953648|4398046511141
343597383857|10995116277818
618475290802|10995116277818
481036337331|10995116277818
549755814069|10995116277818
549755814070|10995116277818
343597383864|10995116277818
412316860601|10995116277818
549755814075|10995116277818
687194767548|10995116277818
343597383869|10995116277818
481036337342|10995116277818
343597383871|10995116277818
549755814080|17592186044443
549755814081|17592186044490
618475290818|19791209300039
687194767559|19791209300039
137438953672|4398046511107
687194767561|4398046511107
137438953674|4398046511107
618475290827|4398046511107
274877907148|4398046511107
549755814093|4398046511107
481036337358|4398046511107
481036337359|4398046511107
687194767569|4398046511107
412316860626|4398046511107
481036337363|4398046511107
412316860629|4398046511107
206158430422|4398046511107
206158430423|4398046511107
274877907162|4398046511107
687194767579|4398046511107
206158430428|6597069766661
343597383902|6597069766661
481036337375|6597069766661
618475290848|6597069766661
687194767585|6597069766661
618475290850|6597069766661
274877907171|6597069766661
274877907172|6597069766661
481036337381|6597069766661
343597383910|6597069766661
618475290855|6597069766661
274877907177|6597069766661
549755814122|6597069766661
343597383915|6597069766661
618475290860|6597069766661
481036337389|15393162788955
481036337390|15393162788955
687194767599|15393162788955
687194767600|15393162788955
687194767601|15393162788955
549755814130|15393162788955
481036337397|15393162788955
549755814134|15393162788955
618475290871|19791209299992
137438953720|4398046511181
206158430457|6597069766745
274877907194|8796093022287
137438953726|4398046511126
274877907200|4398046511126
274877907201|4398046511126
687194767618|4398046511126
549755814147|4398046511126
687194767620|4398046511126
206158430469|4398046511126
137438953735|4398046511126
343597383944|4398046511126
206158430473|4398046511126
343597383946|4398046511126
481036337419|4398046511126
206158430476|4398046511126
343597383949|4398046511126
343597383950|4398046511126
549755814159|4398046511126
549755814160|4398046511126
206158430481|4398046511126
274|94
687194767635|94
276|94
206158430485|94
274877907223|94
618475290904|94
412316860698|94
68719477019|94
343597383964|94
343597383965|94
68719477022|94
206158430495|94
549755814176|94
412316860705|94
290|94
206158430499|94
687194767652|94
481036337445|94
294|94
68719477032|94
206158430505|94
549755814186|94
343597383979|10995116277769
481036337452|10995116277769
412316860718|10995116277769
687194767663|10995116277769
412316860720|10995116277769
481036337457|10995116277769
687194767667|10995116277769
549755814196|10995116277769
549755814197|10995116277769
618475290934|10995116277769
481036337463|10995116277769
412316860728|13194139533328
687194767673|13194139533328
481036337466|13194139533328
481036337467|13194139533328
618475290940|13194139533328
481036337469|13194139533328
549755814206|13194139533328
687194767679|13194139533328
687194767680|13194139533328
687194767681|13194139533328
412316860738|13194139533328
481036337475|13194139533328
481036337476|13194139533328
481036337477|13194139533328
687194767686|21990232555553
687194767687|21990232555553
412316860746|13194139533348
618475290955|13194139533348
618475290958|13194139533348
481036337487|13194139533348
687194767696|13194139533348
687194767698|13194139533348
481036337491|13194139533348
549755814228|13194139533348
343597384022|10995116277802
412316860759|13194139533357
412316860761|13194139533357
481036337499|13194139533357
687194767708|13194139533357
687194767709|13194139533357
687194767711|13194139533357
481036337504|13194139533357
618475290977|13194139533357
687194767714|13194139533357
412316860771|13194139533357
412316860772|13194139533365
618475290981|19791209300014
343597384038|10995116277789
412316860775|10995116277789
412316860776|10995116277789
481036337513|10995116277789
343597384042|10995116277789
618475290987|10995116277789
343597384044|10995116277789
